OpenTime,SUPER-USDT_Open,SUPER-USDT_High,SUPER-USDT_Low,SUPER-USDT_Close,SUPER-USDT_Volume,CloseTime,SUPER-USDT_QAV,SUPER-USDT_TradeNum,SUPER-USDT_TBBAV,SUPER-USDT_TBQAV,SUPER-USDT_Ignore,AVAX-USDT_Open,AVAX-USDT_High,AVAX-USDT_Low,AVAX-USDT_Close,AVAX-USDT_Volume,AVAX-USDT_QAV,AVAX-USDT_TradeNum,AVAX-USDT_TBBAV,AVAX-USDT_TBQAV,AVAX-USDT_Ignore,MATIC-USDT_Open,MATIC-USDT_High,MATIC-USDT_Low,MATIC-USDT_Close,MATIC-USDT_Volume,MATIC-USDT_QAV,MATIC-USDT_TradeNum,MATIC-USDT_TBBAV,MATIC-USDT_TBQAV,MATIC-USDT_Ignore,ETH-USDT_Open,ETH-USDT_High,ETH-USDT_Low,ETH-USDT_Close,ETH-USDT_Volume,ETH-USDT_QAV,ETH-USDT_TradeNum,ETH-USDT_TBBAV,ETH-USDT_TBQAV,ETH-USDT_Ignore,SAND-USDT_Open,SAND-USDT_High,SAND-USDT_Low,SAND-USDT_Close,SAND-USDT_Volume,SAND-USDT_QAV,SAND-USDT_TradeNum,SAND-USDT_TBBAV,SAND-USDT_TBQAV,SAND-USDT_Ignore,LUNA-USDT_Open,LUNA-USDT_High,LUNA-USDT_Low,LUNA-USDT_Close,LUNA-USDT_Volume,LUNA-USDT_QAV,LUNA-USDT_TradeNum,LUNA-USDT_TBBAV,LUNA-USDT_TBQAV,LUNA-USDT_Ignore,ADA-USDT_Open,ADA-USDT_High,ADA-USDT_Low,ADA-USDT_Close,ADA-USDT_Volume,ADA-USDT_QAV,ADA-USDT_TradeNum,ADA-USDT_TBBAV,ADA-USDT_TBQAV,ADA-USDT_Ignore,DOGE-USDT_Open,DOGE-USDT_High,DOGE-USDT_Low,DOGE-USDT_Close,DOGE-USDT_Volume,DOGE-USDT_QAV,DOGE-USDT_TradeNum,DOGE-USDT_TBBAV,DOGE-USDT_TBQAV,DOGE-USDT_Ignore,BTC-USDT_Open,BTC-USDT_High,BTC-USDT_Low,BTC-USDT_Close,BTC-USDT_Volume,BTC-USDT_QAV,BTC-USDT_TradeNum,BTC-USDT_TBBAV,BTC-USDT_TBQAV,BTC-USDT_Ignore
2022-02-01 00:00:00,0.64,0.6478,0.6382,0.6449,182940.0,2022-02-01 00:59:59.999,117703.8009,453.0,81024.0,52153.2429,0.0,69.9,70.93,69.33,69.48,80818.45,5662903.6902,11276.0,36457.15,2556064.3007,0.0,1.642,1.647,1.625,1.636,2039472.2,3333609.4543,7906.0,868189.9,1419685.7891,0.0,2686.94,2706.0,2673.52,2689.05,14612.9126,39300527.887891,27009.0,7720.3361,20771964.325227,0.0,4.0945,4.1111,4.0076,4.0497,2252694.0,9141133.0616,21516.0,1075195.0,4365286.1171,0.0,52.15,52.18,51.04,51.25,228490.95,11786899.035,16433.0,107478.22,5544547.7896,0.0,1.052,1.056,1.043,1.045,3700359.5,3880691.5541,6269.0,1242809.8,1305169.2004,0.0,0.1416,0.1422,0.141,0.1411,16336752.0,2311278.1476,3567.0,8508698.0,1203671.0634,0.0,38466.9,38627.35,38276.43,38342.36,1058.42599,40649138.2489943,29658.0,507.18059,19479794.6231736,0.0
2022-02-01 01:00:00,0.6443,0.6498,0.6407,0.643,67298.0,2022-02-01 01:59:59.999,43487.5307,283.0,30009.0,19387.414,0.0,69.47,69.77,69.13,69.34,32046.89,2226681.7242,4593.0,14014.25,974007.889,0.0,1.635,1.64,1.624,1.628,1294275.6,2114930.72,5202.0,587141.2,959738.6381,0.0,2689.04,2702.0,2678.79,2684.54,11068.0981,29810272.668077,22156.0,6541.6558,17614531.414949,0.0,4.0495,4.1186,4.03,4.0446,2407717.0,9809312.2619,19485.0,1199509.0,4888808.2363,0.0,51.25,52.73,51.23,52.12,290021.88,15101717.4575,20468.0,142351.34,7408388.6982,0.0,1.045,1.047,1.039,1.044,4600893.0,4797132.4983,6774.0,1673376.7,1745413.9045,0.0,0.1412,0.1415,0.1408,0.1411,10235151.0,1444356.7913,3715.0,5570408.0,786221.2227,0.0,38342.37,38407.0,38175.86,38238.19,777.8631,29783740.8642007,24626.0,377.31813,14446390.8345303,0.0
2022-02-01 02:00:00,0.643,0.6464,0.6409,0.6443,85563.0,2022-02-01 02:59:59.999,55088.9612,201.0,43392.0,27947.2472,0.0,69.33,69.91,69.1,69.91,22515.18,1564573.5201,3358.0,10861.8,754911.4149,0.0,1.629,1.638,1.623,1.637,1149011.8,1874414.7872,4708.0,611628.4,998199.8136,0.0,2684.54,2719.0,2680.08,2715.08,12803.1086,34580281.078447,32229.0,7113.9287,19207536.163717,0.0,4.0461,4.0774,4.0165,4.0661,1483168.0,6009630.2138,12219.0,758488.0,3072179.8849,0.0,52.11,52.45,51.67,52.31,256692.97,13370921.269,14198.0,115418.26,6009306.0888,0.0,1.043,1.046,1.034,1.045,5093446.9,5297903.8004,8287.0,2049063.3,2131800.9552,0.0,0.1411,0.1419,0.141,0.1419,6951791.0,983899.3501,2869.0,3652987.0,517133.2681,0.0,38238.18,38506.18,38196.61,38480.9,766.83847,29415554.3161777,26309.0,444.84788,17062263.2667945,0.0
2022-02-01 03:00:00,0.6436,0.6542,0.6425,0.6528,153090.0,2022-02-01 03:59:59.999,99540.3292,346.0,110823.0,72055.74,0.0,69.91,69.95,69.25,69.79,75877.42,5276712.1721,7782.0,39581.09,2753109.469,0.0,1.637,1.67,1.634,1.669,3748269.7,6190665.403,15357.0,2162867.9,3569628.4113,0.0,2715.09,2757.9,2709.3,2751.62,30008.54702,82122521.733785,60391.0,17304.97142,47353324.315425,0.0,4.0661,4.0833,4.0257,4.0422,2382860.0,9651791.9908,16208.0,1061000.0,4298470.8123,0.0,52.3,54.01,51.93,53.61,525377.26,27980126.5593,31593.0,309086.77,16458762.8419,0.0,1.046,1.057,1.043,1.056,3122877.1,3282066.2624,7286.0,1734308.2,1823305.8064,0.0,0.1419,0.1439,0.1416,0.1436,21104181.0,3011566.1229,6719.0,12934181.0,1846550.1321,0.0,38480.9,38649.9,38384.99,38596.82,946.45649,36465977.1091514,31928.0,436.54694,16821217.5879836,0.0
2022-02-01 04:00:00,0.6538,0.6571,0.6484,0.6528,158336.0,2022-02-01 04:59:59.999,103557.3358,354.0,57412.0,37492.5379,0.0,69.79,71.43,69.38,69.8,101632.85,7147736.7902,17977.0,49832.17,3506518.1777,0.0,1.67,1.672,1.65,1.656,2606947.1,4331360.6236,11094.0,1174862.3,1951345.6387,0.0,2751.63,2767.31,2734.0,2743.97,14842.0961,40780071.948128,27258.0,6478.6652,17808349.477984,0.0,4.0422,4.0476,3.976,4.0253,2332296.0,9362298.6193,18117.0,1097495.0,4406718.1144,0.0,53.6,54.2,53.16,53.49,332492.61,17826374.711,18059.0,189180.54,10143618.7825,0.0,1.057,1.063,1.051,1.055,5063927.5,5361057.5665,10000.0,3268989.0,3463098.7517,0.0,0.1436,0.1437,0.1425,0.1428,12746250.0,1821662.5114,4044.0,7192262.0,1027824.1625,0.0,38596.82,38644.57,38470.37,38556.82,758.92782,29261835.2727993,25710.0,357.77167,13793889.475428,0.0
2022-02-01 05:00:00,0.6529,0.6816,0.6516,0.67,693110.0,2022-02-01 05:59:59.999,464188.0739,1566.0,475035.0,317862.623,0.0,69.8,70.36,69.51,69.51,45459.24,3182859.3109,5488.0,25227.89,1766545.8534,0.0,1.655,1.659,1.636,1.637,2557841.1,4211689.9168,7973.0,1136111.7,1870096.4611,0.0,2743.97,2751.75,2731.57,2732.85,11401.285,31272653.466675,19484.0,5259.506,14424778.600027,0.0,4.0252,4.0255,3.9564,3.9578,1783548.0,7128235.0741,10929.0,1052338.0,4206984.3879,0.0,53.48,53.99,52.91,52.96,255917.36,13699464.4624,14895.0,123683.85,6627253.0489,0.0,1.055,1.058,1.052,1.053,2242497.7,2365450.7883,4240.0,1289481.2,1360643.1196,0.0,0.1428,0.1433,0.1423,0.1423,8548242.0,1221535.7531,3106.0,4311045.0,616154.5109,0.0,38556.83,38618.67,38444.26,38452.9,703.01456,27095769.5317164,21768.0,321.15907,12378062.4842363,0.0
2022-02-01 06:00:00,0.6704,0.6728,0.6515,0.6534,341857.0,2022-02-01 06:59:59.999,225495.0952,942.0,155208.0,102537.4484,0.0,69.5,69.62,68.47,69.21,76072.01,5256433.1318,10083.0,35012.59,2419917.8611,0.0,1.636,1.644,1.629,1.638,1860362.5,3044832.305,7968.0,902797.2,1477970.6671,0.0,2732.85,2739.16,2718.22,2733.23,11106.3761,30312677.608678,23013.0,5436.1407,14836325.23131,0.0,3.9578,3.9976,3.9389,3.9769,1713663.0,6805767.158,14309.0,905637.0,3596918.5436,0.0,52.96,53.11,52.08,52.31,280437.15,14739599.3234,17270.0,126878.54,6670715.5906,0.0,1.053,1.053,1.044,1.049,3393850.7,3558172.9455,6548.0,1314742.7,1378814.3776,0.0,0.1423,0.1427,0.142,0.1424,12271895.0,1747214.6848,4254.0,6544426.0,932028.6737,0.0,38452.89,38482.91,38240.0,38285.02,1246.89537,47779740.8140554,31952.0,622.9412,23873231.6470855,0.0
2022-02-01 07:00:00,0.6533,0.661,0.6516,0.6592,146211.0,2022-02-01 07:59:59.999,95801.2613,320.0,84688.0,55504.6552,0.0,69.21,69.79,69.18,69.75,29121.61,2025320.7059,4390.0,17445.94,1213474.5715,0.0,1.639,1.654,1.637,1.652,1731481.4,2850730.507,6181.0,1115973.0,1837575.2293,0.0,2733.22,2746.56,2732.21,2736.69,7894.0943,21627375.127993,18503.0,4145.7392,11358367.249682,0.0,3.9768,3.9998,3.9548,3.9961,1909002.0,7589832.7962,13667.0,861761.0,3426427.098,0.0,52.31,53.5,52.31,53.14,164600.29,8731333.8086,11865.0,89552.89,4748208.4952,0.0,1.05,1.056,1.048,1.056,2026474.9,2133582.737,4459.0,1248767.8,1315154.5114,0.0,0.1425,0.143,0.1424,0.1429,6552216.0,935893.9947,2943.0,3783970.0,540599.4574,0.0,38285.01,38462.69,38281.16,38440.77,708.0703,27178493.131204,26616.0,420.69894,16148295.2215901,0.0
2022-02-01 08:00:00,0.6598,0.6739,0.6565,0.6713,241779.0,2022-02-01 08:59:59.999,161314.5765,601.0,140666.0,93940.339,0.0,69.76,71.07,69.58,70.82,147865.82,10432059.068,13407.0,70442.93,4969536.2528,0.0,1.653,1.666,1.648,1.664,2056936.1,3405602.1125,7780.0,1176566.6,1948404.487,0.0,2736.69,2766.0,2732.0,2765.65,12231.2726,33633326.239072,24963.0,7132.0239,19608042.564069,0.0,3.9962,4.058,3.9816,4.0479,2130740.0,8564941.7828,19364.0,1284390.0,5161379.5321,0.0,53.14,53.3,52.76,53.05,182618.8,9681361.7812,11226.0,90575.62,4802889.5774,0.0,1.056,1.063,1.053,1.062,4164678.0,4407183.0722,6968.0,2626787.4,2780126.9832,0.0,0.1429,0.143,0.1425,0.143,11797798.0,1684611.8804,3508.0,6162868.0,880191.8762,0.0,38440.76,38624.24,38398.54,38597.53,793.02544,30555495.9782242,27750.0,415.4555,16009728.9704674,0.0
2022-02-01 09:00:00,0.6712,0.68,0.6512,0.6537,335284.0,2022-02-01 09:59:59.999,223622.3488,1044.0,168994.0,112703.7102,0.0,70.84,72.0,69.65,69.92,217104.07,15417107.6779,23533.0,82878.95,5894131.8037,0.0,1.665,1.678,1.631,1.633,5037243.3,8333607.7876,23040.0,2249097.1,3722447.135,0.0,2765.28,2796.79,2728.97,2735.4,35639.5691,98501319.684439,63580.0,16871.7266,46652032.201568,0.0,4.0477,4.093,3.9429,3.9531,4656765.0,18722907.1052,35529.0,2188390.0,8798979.2405,0.0,53.05,53.77,50.89,51.6,573674.29,30049767.9456,35283.0,265881.03,13951152.4718,0.0,1.062,1.072,1.047,1.05,13558557.5,14367900.6919,25058.0,6610076.9,7006755.5477,0.0,0.143,0.1444,0.1413,0.1418,40055222.0,5724775.8964,10925.0,20608756.0,2948055.2304,0.0,38597.54,39100.0,38224.41,38256.12,4270.80387,165099104.5903436,95296.0,2345.73468,90725113.2516286,0.0
